run,last_step,total_steps,pct_done,train_loss_mean_last100,last_recon_test,last_scand_test,best_recon_test,best_scand_test
long_baseline,11000,12058,91.22574224581192,0.09702799999999998,0.1443,0.0999,0.134,0.0861
lr_1e5,7650,12058,63.44335710731465,0.11821600000000002,0.1834,0.1145,0.1462,0.1145
lr_5e5,7600,12058,63.02869464256096,0.11370300000000003,0.1724,0.1113,0.1391,0.1048
lr_1e4,7600,12058,63.02869464256096,0.115319,0.1739,0.1095,0.1463,0.1085
denoiser_mlp,7600,12058,63.02869464256096,0.114015,0.1753,0.1083,0.1404,0.1051
data_scand1,7600,12058,63.02869464256096,0.144685,0.1461,0.1449,0.1177,0.128
data_scand8,7550,12058,62.61403217780727,0.11680900000000001,0.1628,0.106,0.1368,0.106
data_scand48,7700,12058,63.858019572068336,0.110288,0.1843,0.1095,0.1451,0.1066
combo_residual_ctx3,10200,12459,81.86852877437997,0.10183400000000001,0.142,0.098,0.142,0.0927
combo_horizon8_ctx3,10200,14230,71.67955024595923,0.09566099999999997,0.1457,0.0944,0.1446,0.0899
combo_residual_horizon8,7650,13759,55.599970928119774,0.10892099999999999,0.1681,0.1052,0.144,0.1052
